i0:(s10,s4,s5,s1,s6,s8,s12,s0,s15,s11,s2,s13,s7,s3,s9)
i1:(s9,s7,s13,s6,s8,s15,s0,s3,s11,s4,s14,s2,s1,s5,s10)
i2:(s5,s3,s11,s14,s6,s10,s9,s2,s15,s7,s8,s1,s0,s12,s13)
i3:(s13,s3,s7,s0,s2,s9,s15,s10,s14,s6,s5,s4,s11,s8,s1)
i4:(s15,s3,s2,s1,s0,s4,s9,s10,s6,s11,s13,s7,s8,s14,s5)
i5:(s8,s15,s0,s2,s14,s11,s7,s3,s13,s5,s1,s6,s10,s12,s4)
i6:(s9,s11,s14,s8,s1,s4,s7,s15,s2,s12,s10,s13,s5,s0,s3)
i7:(s15,s8,s14,s13,s3,s2,s11,s4,s12,s9,s0,s10,s1,s6,s5)
i8:(s11,s15,s1,s9,s4,s13,s0,s5,s12,s10,s3,s2,s6,s7,s14)
i9:(s15,s2,s12,s14,s10,s7,s8,s5,s13,s6,s4,s1,s11,s3,s0)
i10:(s4,s12,s7,s0,s14,s2,s11,s13,s15,s10,s6,s3,s8,s9,s1)
i11:(s15,s4,s3,s8,s9,s13,s2,s1,s14,s5,s7,s12,s0,s6,s10)
i12:(s14,s6,s7,s11,s15,s13,s4,s12,s3,s1,s5,s8,s0,s9,s2)
i13:(s8,s11,s14,s5,s4,s15,s3,s7,s13,s9,s10,s2,s0,s6,s1)
i14:(s3,s7,s11,s5,s4,s8,s12,s9,s15,s6,s1,s14,s13,s2,s0)
s0:(6,i3,i12,i10,i7,i11,i14,i2,i6,i9,i8,i4,i13,i1,i0,i5)
s1:(6,i0,i4,i11,i9,i12,i14,i1,i6,i5,i8,i2,i3,i13,i10,i7)
s2:(6,i1,i4,i5,i3,i11,i10,i2,i7,i12,i13,i14,i8,i0,i6,i9)
s3:(6,i7,i2,i0,i14,i11,i10,i3,i4,i6,i5,i9,i12,i8,i1,i13)
s4:(6,i5,i13,i8,i12,i2,i3,i4,i14,i10,i11,i1,i7,i0,i6,i9)
s5:(6,i10,i6,i4,i14,i0,i13,i12,i3,i8,i7,i1,i2,i5,i11,i9)
s6:(6,i6,i12,i13,i2,i9,i3,i1,i10,i5,i7,i0,i8,i4,i11,i14)
s7:(6,i10,i4,i8,i0,i5,i14,i6,i12,i11,i3,i13,i7,i2,i1,i9)
s8:(6,i4,i1,i6,i0,i13,i2,i7,i11,i12,i8,i14,i3,i10,i9,i5)
s9:(6,i7,i11,i12,i13,i4,i9,i3,i10,i14,i0,i1,i2,i8,i6,i5)
s10:(6,i1,i14,i12,i4,i11,i0,i3,i9,i8,i10,i13,i5,i7,i2,i6)
s11:(6,i14,i2,i8,i7,i3,i5,i6,i12,i13,i11,i9,i10,i1,i4,i0)
s12:(6,i1,i3,i6,i13,i0,i9,i11,i10,i8,i4,i5,i12,i14,i7,i2)
s13:(6,i4,i12,i2,i11,i5,i10,i0,i6,i7,i13,i14,i3,i9,i8,i1)
s14:(6,i12,i6,i3,i11,i1,i13,i7,i0,i5,i2,i4,i14,i10,i8,i9)
s15:(6,i8,i10,i9,i13,i0,i14,i2,i7,i11,i12,i3,i4,i1,i6,i5)
